word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
abort,v.,"to give up on a half-finished project or effort  abridge 1.  to cut down, shorten  2.  shortened","After they ran out of food, the men, attempting to jump rope around the world, had to abort and go home.","After they ran out of food, the men, attempting to jump rope around the world, had to _____ and go home.",/əˈbɔːt/,/əˈbɔːt/; /əˈbɔɹt/,https://api.dictionaryapi.dev/media/pronunciations/en/abort-us.mp3,verb,"(now rare outside medicine) To miscarry; to bring forth (non-living) offspring prematurely.; To cause a premature termination of (a fetus); to end a pregnancy before term.; To end prematurely; to stop in the preliminary stages; to turn back.; To stop or fail at something in the preliminary stages.; To become checked in normal development, so as either to remain rudimentary or shrink away wholly; to cease organic growth before maturation; to become sterile.; To cause an organism to develop minimally; to cause rudimentary development to happen; to prevent maturation.; To abandon a mission at any point after the beginning of the mission and prior to its completion.; To terminate a mission involving a missile or rocket; to destroy a missile or rocket prematurely.; To terminate a process prior to completion.",,
abrogate,v.,"to abolish, usually by authority",The Bill of Rights assures that the government cannot abrogate our right to a free press.,The Bill of Rights assures that the government cannot ________ our right to a free press.,,,,verb; adjective,"To annul by an authoritative act; to abolish by the authority of the maker or her or his successor; to repeal; — applied to the repeal of laws, decrees, ordinances, the abolition of customs, etc.; To put an end to; to do away with.; To block a process or function.; Abrogated; abolished.",,
abscond,v.,to sneak away and hide,"In the confusion, the super-spy absconded into the night with the secret plans.","In the confusion, the super-spy _______ed into the night with the secret plans.",/əbˈskɒnd/,/əbˈskɒnd/; /əbˈskɑnd/,,verb,"To flee, often secretly; to steal away, particularly to avoid arrest or prosecution.; To withdraw from.; To evade, to hide or flee from.; To conceal; to take away.; To hide, to be in hiding or concealment.",steal away; run away; flee; conceal,
absolution,n.,"freedom from blame, guilt, sin","Once all the facts were known, the jury gave Angela absolution by giving a verdict of not guilty.","Once all the facts were known, the jury gave Angela __________ by giving a verdict of not guilty.",/æb.səˈljuː.ʃn̩/,/æb.səˈljuː.ʃn̩/; /ˌæb.səˈl(j)u.ʃn̩/,,noun,"An absolving of sins from ecclesiastical penalties by an authority.; Forgiveness of sins, in a general sense.; The form of words by which a penitent is absolved.; An absolving, or setting free from guilt, sin, or penalty; forgiveness of an offense.; An acquittal, or sentence of a judge declaring an accused person innocent.; Delivery, in speech.",,
abstain,v.,to freely choose not to commit an action,"Everyone demanded that Angus put on the kilt, but he did not want to do it and abstained.","Everyone demanded that Angus put on the kilt, but he did not want to do it and _______ed.",/əbˈsteɪn/,/əbˈsteɪn/; /æbˈsteɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/abstain-uk.mp3,verb,"Keep or withhold oneself.; Refrain from (something or doing something); keep from doing, especially an indulgence.; Fast (not eat for a period).; Deliberately refrain from casting one's vote at a meeting where one is present.; Hinder; keep back; withhold.",,
abstruse,adj.,hard to comprehend,"Everyone else in the class understood geometry easily, but John found the subject abstruse.","Everyone else in the class understood geometry easily, but John found the subject ________.",/əbˈstɹuːs/,/əbˈstɹuːs/; /æbˈstɹus/,https://api.dictionaryapi.dev/media/pronunciations/en/abstruse-uk.mp3,adjective,Difficult to comprehend or understand.; Concealed or hidden out of the way; secret.,esoteric; obscure; recondite,
accede,v.,to agree,"When the class asked the teacher whether they could play baseball instead of learn grammar they expected him to refuse, but instead he acceded to their request.","When the class asked the teacher whether they could play baseball instead of learn grammar they expected him to refuse, but instead he ______d to their request.",/əkˈsiːd/,/əkˈsiːd/; /ækˈsid/,https://api.dictionaryapi.dev/media/pronunciations/en/accede-us.mp3,verb,"To approach; to arrive, to come forward.; To give one's adhesion; to join up with (a group, etc.); to become part of.; To agree or assent to a proposal or a view; to give way.; To come to an office, state or dignity; to attain, assume (a position).; To become a party to an agreement or a treaty.",,
accentuate,v.,"to stress, highlight  A SAT Vocabulary",Psychologists agree that those people who are happiest accentuate the positive in life.,Psychologists agree that those people who are happiest __________ the positive in life.,,/ækˈsen.tʃuˌeɪt/; /ækˈsen.tʃuˌeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/accentuate-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/accentuate-us.mp3,verb,To pronounce with an accent or vocal stress.; To bring out distinctly; to make more noticeable or prominent; to emphasize.; To mark with a written accent.,,
accessible,adj.,"obtainable, reachable","After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was accessible.","After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was __________.",,/əkˈsɛs.ə.bəl/,https://api.dictionaryapi.dev/media/pronunciations/en/accessible-uk.mp3,adjective,Easy of access or approach.; (specifically) Built or designed as to be usable by people with disabilities.; (of a person) Easy to get along with.; (followed by to) Open to the influence of.; Obtainable; to be got at.; Easily understood or appreciated.; Capable of being used or seen.,welcoming; easy-going; friendly; approachable,
acclaim,n.,high praise,Greg’s excellent poem won the acclaim of his friends.,Greg’s excellent poem won the _______ of his friends.,,/ə.ˈkleɪm/,https://api.dictionaryapi.dev/media/pronunciations/en/acclaim-uk.mp3,noun,An acclamation; a shout of applause.; A claim.,,
accolade,n.,"high praise, special distinction",Everyone offered accolades to Sam after he won the Noble Prize.,Everyone offered ________s to Sam after he won the Noble Prize.,/ˈæk.ə.ˌleɪd/,/ˈæk.ə.ˌleɪd/; /ˈæk.ə.ˌleɪd/,,noun; verb; noun,"An expression of approval; praise.; A special acknowledgment; an award.; An embrace of greeting or salutation.; A salutation marking the conferring of knighthood, consisting of an embrace or a kiss, and a slight blow on the shoulders with the flat of a sword.; A brace used to join two or more staves.; Written Presidential certificate recognizing service by personnel who died or were wounded in action between 1917 and 1918, or who died in service between 1941 and 1947, or died of wounds received in Korea between June 27, 1950 and July 27, 1954. Service of civilians who died overseas or as a result of injury or disease contracted while serving in a civilian capacity with the United States Armed Forces during the dates and/or in areas prescribed is in like manner recognized.; An ornament composed of two ogee curves meeting in the middle, each concave toward its outer extremity and convex toward the point at which it meets the other. Such accolades are either plain or adorned with rich moldings, and are a frequent motive of decoration on the lintels of doors and windows of the fifteenth and sixteenth centuries, especially in secular architecture.; To embrace or kiss in salutation.; To confer a knighthood on.; To confer praise or awards on.; Either of the two characters { and }, i.e., left curly bracket left curly bracket and right curly bracket right curly bracket, with the shape of a curved, pointed line, having various uses in math, music, and computer programming.",,
accommodating,adj.,"helpful, obliging, polite","Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were accommodating to each other.","Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were _____________ to each other.",/ə.ˈkɒm.ə.ˌdeɪ.tɪŋ/,/ə.ˈkɒm.ə.ˌdeɪ.tɪŋ/,,verb; adjective,"To render fit, suitable, or correspondent; to adapt.; To cause to come to agreement; to bring about harmony; to reconcile.; To provide housing for.; To provide with something desired, needed, or convenient.; To do a favor or service for; to oblige.; To show the correspondence of; to apply or make suit by analogy; to adapt or fit, as teachings to accidental circumstances, statements to facts, etc.; To give consideration to; to allow for.; To contain comfortably; to have space for.; To adapt oneself; to be conformable or adapted; become adjusted.; Affording, or disposed to afford, accommodation; obliging; helpful.; Pliable; easily corrupted.",adjust; arrange; adapt; reconcile; conform; oblige; suit,
accord,n.,an agreement,"After much negotiating, England and Iceland finally came to a mutually beneficial accord about fishing rights off the cost of Greenland.","After much negotiating, England and Iceland finally came to a mutually beneficial ______ about fishing rights off the cost of Greenland.",,/əˈkɔːd/; /ə.ˈkɔɹd/,https://api.dictionaryapi.dev/media/pronunciations/en/accord-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/accord-us.mp3,noun; verb,"Agreement or concurrence of opinion, will, or action.; A harmony in sound, pitch and tone; concord.; Agreement or harmony of things in general.; An agreement between parties in controversy, by which satisfaction for an injury is stipulated, and which, when executed, prevents a lawsuit.; An international agreement.; Assent; Voluntary or spontaneous impulse to act.; To make to agree or correspond; to suit one thing to another; to adjust.; To bring (people) to an agreement; to reconcile, settle, adjust or harmonize.; To agree or correspond; to be in harmony; to be concordant.; To agree in pitch and tone.; To grant as suitable or proper; to concede or award.; To give consent.; To arrive at an agreement.",,
accost,v.,to confront verbally,"Though Antoinette was normally quite calm, when the waiter spilled soup on her for the fourth time in 15 minutes she stood up and accosted the man.","Though Antoinette was normally quite calm, when the waiter spilled soup on her for the fourth time in 15 minutes she stood up and ______ed the man.",/ə.ˈkɑst/,/ə.ˈkɑst/; /ə.ˈkɒst/; /ə.ˈkɔst/,https://api.dictionaryapi.dev/media/pronunciations/en/accost-us.mp3,noun; verb,"Address; greeting.; An attack.; To approach and speak to boldly or aggressively, as with a demand or request.; To join side to side; to border.; (by extension) To sail along the coast or side of.; To approach; to come up to.; To speak to first; to address; to greet.; To adjoin; to lie alongside.; To assault.; To solicit sexually.",,
accretion,n.,slow growth in size or amount,Stalactites are formed by the accretion of minerals from the roofs of caves.,Stalactites are formed by the _________ of minerals from the roofs of caves.,/ə.ˈkɹi.ʃən/,/ə.ˈkɹi.ʃən/,,noun,"The act of increasing by natural growth; especially the increase of organic bodies by the internal accession of parts; organic growth.; The act of increasing, or the matter added, by an accession of parts externally; an extraneous addition; Something added externally to promote growth the external growth of an item.; Concretion; coherence of separate particles; A growing together of parts naturally separate, as of the fingers or toes.; The gradual increase of land by deposition of water-borne sediment.; The adhering of property to something else, by which the owner of one thing becomes possessed of a right to another; generally, gain of land by the washing up of sand or sail from the sea or a river, or by a gradual recession of the water from the usual watermark.; Gain to an heir or legatee; failure of a coheir to the same succession, or a co-legatee of the same thing, to take his share percentage.",,
acerbic,adj.,"biting, bitter in tone or taste",Jill became extremely acerbic and began to cruelly make fun of all her friends.,Jill became extremely _______ and began to cruelly make fun of all her friends.,,,,,,,
acquiesce,v.,to agree without protesting,"Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he acquiesced to her demands.","Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he _________d to her demands.",,,,,,,
acrimony,n.,"bitterness, discord","Though they vowed that no girl would ever come between them, Biff and Trevor could not keep acrimony from overwhelming their friendship after they both fell in love with the lovely Teresa.","Though they vowed that no girl would ever come between them, Biff and Trevor could not keep ________ from overwhelming their friendship after they both fell in love with the lovely Teresa.",,,,,,,
acumen,n.,"keen insight  acute 1.  sharp, severe  2.  having keen insight","Because of his mathematical acumen, Larry was able to figure out in minutes problems that took other students hours.","Because of his mathematical ______, Larry was able to figure out in minutes problems that took other students hours.",,,,,,,
adamant,adj.,"impervious, immovable, unyielding","Though public pressure was intense, the President remained adamant about his proposal.","Though public pressure was intense, the President remained _______ about his proposal.",,,,,,,
adept,adj.,extremely skilled  SAT Vocabulary A adhere 1.  to stick to something  2.  to follow devoutly,Tarzan was adept at jumping from tree to tree like a monkey.,Tarzan was _____ at jumping from tree to tree like a monkey.,,,,,,,
admonish,v.,"to caution, criticize, reprove",Joe’s mother admonished him not to ruin his appetite by eating cookies before dinner.,Joe’s mother ________ed him not to ruin his appetite by eating cookies before dinner.,,,,,,,
adorn,v.,to decorate,We adorned the tree with ornaments.,We _____ed the tree with ornaments.,,,,,,,
adroit,adj.,"skillful, dexterous",The adroit thief could pick someone’s pocket without attracting notice.,The ______ thief could pick someone’s pocket without attracting notice.,,,,,,,
adulation,n.,extreme praise,"Though the book was pretty good, Marcy did not believe it deserved the adulation it received.","Though the book was pretty good, Marcy did not believe it deserved the _________ it received.",,,,,,,
adumbrate,v.,to sketch out in a vague way,"The coach adumbrated a game plan, but none of the players knew precisely what to do.","The coach _________d a game plan, but none of the players knew precisely what to do.",,,,,,,
adverse,adj.,"antagonistic, unfavorable, dangerous  advocate 1.  to argue in favor of something  2.  a person who argues in favor of something","Because of adverse conditions, the hikers decided to give up trying to climb the mountain.","Because of _______ conditions, the hikers decided to give up trying to climb the mountain.",,,,,,,
aerial,adj.,somehow related to the air,We watched as the fighter planes conducted aerial maneuvers.,We watched as the fighter planes conducted ______ maneuvers.,,,,,,,
aesthetic,adj.,"artistic, related to the appreciation of beauty",We hired Susan as our interior decorator because she has such a fine aesthetic sense.,We hired Susan as our interior decorator because she has such a fine _________ sense.,,,,,,,
affable,adj.,"friendly, amiable",People like to be around George because he is so affable and good-natured.,People like to be around George because he is so _______ and good-natured.,,,,,,,
affinity,n.,a spontaneous feeling of closeness,"Jerry didn’t know why, but he felt an incredible affinity for Kramer the first time they met.","Jerry didn’t know why, but he felt an incredible ________ for Kramer the first time they met.",,,,,,,
affluent,adj.,"rich, wealthy","Mrs. Grebelski was affluent, owning a huge house, three cars, and an island near Maine.","Mrs. Grebelski was ________, owning a huge house, three cars, and an island near Maine.",,,,,,,
affront,n.,an insult,"Bernardo was very touchy, and took any slight as an affront to his honor.","Bernardo was very touchy, and took any slight as an _______ to his honor.",,,,,,,
aggrandize,v.,to increase or make greater  A SAT Vocabulary aggregate 1.  a whole or total  2.  to gather into a mass,Joseph always dropped the names of the famous people his father knew as a way to aggrandize his personal stature.,Joseph always dropped the names of the famous people his father knew as a way to __________ his personal stature.,,,,,,,
aggrieved,adj.,"distressed, wronged, injured",The foreman mercilessly overworked his aggrieved employees.,The foreman mercilessly overworked his _________ employees.,,,,,,,
agile,adj.,"quick, nimble",The dogs were too slow to catch the agile rabbit.,The dogs were too slow to catch the _____ rabbit.,,,,,,,
agnostic,adj.,believing that the existence of God cannot be proven or disproven,"Joey’s parents are very religious, but he is agnostic.","Joey’s parents are very religious, but he is ________.",,,,,,,
agriculture,n.,farming,"It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as agriculture.","It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as ___________.",,,,,,,
aisle,n.,a passageway between rows of seats,Once we got inside the stadium we walked down the aisle to our seats.,Once we got inside the stadium we walked down the _____ to our seats.,,,,,,,
alacrity,n.,"eagerness, speed","For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table he did so with alacrity.","For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table he did so with ________.",,,,,,,
alias,n.,a false name or identity,He snuck past the guards by using an alias and fake ID.,He snuck past the guards by using an _____ and fake ID.,,,,,,,
allay,v.,"to soothe, ease",The chairman of the Federal Reserve gave a speech to try to allay investors’ fears about an economic downturn.,The chairman of the Federal Reserve gave a speech to try to _____ investors’ fears about an economic downturn.,,,,,,,
allege,v.,"to assert, usually without proof","The policeman had alleged that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.","The policeman had ______d that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.",,,,,,,
alleviate,v.,"to relieve, make more bearable","This drug will alleviate the symptoms of the terrible disease, but only for a while.","This drug will _________ the symptoms of the terrible disease, but only for a while.",,,,,,,
allocate,v.,"to distribute, set aside",The Mayor allocated 30 percent of the funds for improving the town’s schools.,The Mayor ________d 30 percent of the funds for improving the town’s schools.,,,,,,,
aloof,adj.,"reserved, distant","The scientist could sometimes seem aloof, as if he didn’t care about his friends or family, but really he was just thinking about quantum mechanics.","The scientist could sometimes seem _____, as if he didn’t care about his friends or family, but really he was just thinking about quantum mechanics.",,,,,,,
altercation,n.,"a dispute, fight  SAT Vocabulary A","Jason and Lionel blamed one another for the car accident, leading to an altercation.","Jason and Lionel blamed one another for the car accident, leading to an ___________.",,,,,,,
amalgamate,v.,"to bring together, unite","Because of his great charisma, the presidential candidate was able to amalgamate all democrats and republicans under his banner.","Because of his great charisma, the presidential candidate was able to __________ all democrats and republicans under his banner.",,,,,,,
ambiguous,adj.,"uncertain, variably interpretable","Some people think Caesar married Cleopatra for her power, others believe he was charmed by her beauty. His actual reasons are ambiguous.","Some people think Caesar married Cleopatra for her power, others believe he was charmed by her beauty. His actual reasons are _________.",,,,,,,
ambivalent,adj.,having opposing feelings,"My feelings about Calvin are ambivalent because on one hand he is a loyal friend, but on the other, he is a cruel and vicious thief.","My feelings about Calvin are __________ because on one hand he is a loyal friend, but on the other, he is a cruel and vicious thief.",,,,,,,
ameliorate,v.,to improve,The tense situation was ameliorated when Sam proposed a solution everyone could agree upon.,The tense situation was __________d when Sam proposed a solution everyone could agree upon.,,,,,,,
amenable,adj.,"willing, compliant",Our father was amenable when we asked him to drive us to the farm so we could go apple picking.,Our father was ________ when we asked him to drive us to the farm so we could go apple picking.,,,,,,,
amenity,n.,an item that increases comfort,"Bill Gates’s house is stocked with so many amenities, he never has to do anything for himself.","Bill Gates’s house is stocked with so many amenities, he never has to do anything for himself.",,,,,,,
amiable,adj.,friendly,"An amiable fellow, Harry got along with just about everyone.","An _______ fellow, Harry got along with just about everyone.",,,,,,,
amicable,adj.,friendly,"Claudia and Jimmy got divorced, but amicably and without hard feelings.","Claudia and Jimmy got divorced, but amicably and without hard feelings.",,,,,,,
amorous,adj.,"showing love, particularly sexual","Whenever Albert saw Mariah wear her slinky red dress, he began to feel quite amorous.","Whenever Albert saw Mariah wear her slinky red dress, he began to feel quite _______.",,,,,,,
amorphous,adj.,without definite shape or type,"The effort was doomed from the start, because the reasons behind it were so amorphous and hard to pin down.","The effort was doomed from the start, because the reasons behind it were so _________ and hard to pin down.",,,,,,,
anachronistic,adj.,being out of correct chronological order,"In this book you’re writing, you say that the Pyramids were built after the Titanic sank, which is anachronistic.","In this book you’re writing, you say that the Pyramids were built after the Titanic sank, which is _____________.",,,,,,,
analgesic,n.,something that reduces pain,Put this analgesic on the wound so that the poor man at least feels a little better.,Put this _________ on the wound so that the poor man at least feels a little better.,,,,,,,
analogous,adj.,"similar to, so that an analogy can be drawn","Though they are unrelated genetically, the bone structure of whales and fish is quite analogous.","Though they are unrelated genetically, the bone structure of whales and fish is quite _________.",,,,,,,
anarchist,n.,one who wants to eliminate all government,"An anarchist, Carmine wanted to dissolve every government everywhere.","An _________, Carmine wanted to dissolve every government everywhere.",,,,,,,
anathema,n.,"a cursed, detested person  A SAT Vocabulary",I never want to see that murderer. He is an anathema to me.,I never want to see that murderer. He is an ________ to me.,,,,,,,
anecdote,n.,"a short, humorous account","After dinner, Marlon told an anecdote about the time he got his nose stuck in a toaster.","After dinner, Marlon told an ________ about the time he got his nose stuck in a toaster.",,,,,,,
anesthesia,n.,loss of sensation,"When the nerves in his spine were damaged, Mr. Hollins suffered anesthesia in his legs.","When the nerves in his spine were damaged, Mr. Hollins suffered __________ in his legs.",,,,,,,
anguish,n.,"extreme sadness, torment",Angelos suffered terrible anguish when he learned that Buffy had died while combating a strange mystical force of evil.,Angelos suffered terrible _______ when he learned that Buffy had died while combating a strange mystical force of evil.,,,,,,,
animated,adj.,lively  annex 1.  to incorporate territory or space  2.  a room attached to a larger room or space,"When he begins to talk about drama, which is his true passion, he becomes very animated.","When he begins to talk about drama, which is his true passion, he becomes very ________.",,,,,,,
annul,v.,to make void or invalid,"After seeing its unforeseen and catastrophic effects, Congress sought to annul the law.","After seeing its unforeseen and catastrophic effects, Congress sought to _____ the law.",,,,,,,
anomaly,n.,something that does not fit into the normal order,"“That rip in the spacetime continuum is certainly a spatial anomaly,” said Spock to Captain Kirk.","“That rip in the spacetime continuum is certainly a spatial _______,” said Spock to Captain Kirk.",,,,,,,
anonymous,adj.,"being unknown, unrecognized",Mary received a love poem from an anonymous admirer.,Mary received a love poem from an _________ admirer.,,,,,,,
antagonism,n.,hostility,"Superman and Bizarro Superman shared a mutual antagonism, and often fought.","Superman and Bizarro Superman shared a mutual __________, and often fought.",,,,,,,
antecedent,n.,something that came before,The great tradition of Western culture had its antecedent in the culture of Ancient Greece.,The great tradition of Western culture had its __________ in the culture of Ancient Greece.,,,,,,,
antediluvian,adj.,ancient,The antediluvian man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.,The ____________ man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.,,,,,,,
anthology,n.,"a selected collection of writings, songs, etc.",The new anthology of Bob Dylan songs contains all his greatest hits and a few songs that you might never have heard before.,The new _________ of Bob Dylan songs contains all his greatest hits and a few songs that you might never have heard before.,,,,,,,
antipathy,n.,"a strong dislike, repugnance","I know you love me, but because you are a liar and a thief, I feel nothing but antipathy for you.","I know you love me, but because you are a liar and a thief, I feel nothing but _________ for you.",,,,,,,
antiquated,adj.,"old, out of date","That antiquated car has none of the features, like power windows and steering, that make modern cars so great.","That __________ car has none of the features, like power windows and steering, that make modern cars so great.",,,,,,,
antiseptic,adj.,"clean, sterile  SAT Vocabulary A","The antiseptic hospital was very bare, but its cleanliness helped to keep patients healthy.","The __________ hospital was very bare, but its cleanliness helped to keep patients healthy.",,,,,,,
antithesis,n.,the absolute opposite,"Your values, which hold war and violence in the highest esteem, are the antithesis of my pacifist beliefs.","Your values, which hold war and violence in the highest esteem, are the __________ of my pacifist beliefs.",,,,,,,
anxiety,n.,intense uneasiness,"When he heard about the car crash, he felt anxiety because he knew that his girlfriend had been driving on the road where the accident occurred.","When he heard about the car crash, he felt _______ because he knew that his girlfriend had been driving on the road where the accident occurred.",,,,,,,
apathetic,adj.,"lacking concern, emotion","Uninterested in politics, Bruno was apathetic about whether he lived under a capitalist or communist regime.","Uninterested in politics, Bruno was _________ about whether he lived under a capitalist or communist regime.",,,,,,,
apocryphal,adj.,"fictitious, false, wrong","Because I am standing before you, it seems obvious that the stories circulating about my demise were apocryphal.","Because I am standing before you, it seems obvious that the stories circulating about my demise were __________.",,,,,,,
appalling,adj.,"inspiring shock, horror, disgust",The judge found the murderer’s crimes and lack of remorse appalling.,The judge found the murderer’s crimes and lack of remorse _________.,,,,,,,
appease,v.,"to calm, satisfy","When the child cries, the mother gives him candy to appease him.","When the child cries, the mother gives him candy to _______ him.",,,,,,,
appraise,v.,"to assess the worth or value of  apprehend 1.  to seize, arrest  2.  to perceive, understand, grasp",A realtor will come over tonight to appraise our house.,A realtor will come over tonight to ________ our house.,,,,,,,
approbation,n.,praise,The crowd welcomed the heroes with approbation.,The crowd welcomed the heroes with ___________.,,,,,,,
appropriate,v.,"to take, make use of",The government appropriated the farmer’s land without justification.,The government ___________d the farmer’s land without justification.,,,,,,,
aquatic,adj.,relating to water,The marine biologist studies starfish and other aquatic creatures.,The marine biologist studies starfish and other _______ creatures.,,,,,,,
arable,adj.,suitable for growing crops,The farmer purchased a plot of arable land on which he will grow corn and sprouts.,The farmer purchased a plot of ______ land on which he will grow corn and sprouts.,,,,,,,
